,playerID,yearID,G,AB,R,H,2B,3B,HR,RBI,BB,SO,IBB,AVG,OBP,SLG,OPS
541,piazzmi01,2006,126,399,39,113,19,1,22,68.0,34,66.0,2.0,0.283,0.337,0.501,0.838
542,pierrju01,2006,162,699,87,204,32,13,3,40.0,32,38.0,0.0,0.292,0.322,0.388,0.71
543,pierzaj01,2006,140,509,65,150,24,0,16,64.0,22,72.0,6.0,0.295,0.323,0.436,0.759
544,podsesc01,2006,139,524,86,137,27,6,3,45.0,54,96.0,1.0,0.261,0.328,0.353,0.681
545,polanpl01,2006,110,461,58,136,18,1,4,52.0,17,27.0,0.0,0.295,0.319,0.364,0.683
546,posadjo01,2006,143,465,65,129,27,2,23,93.0,64,97.0,1.0,0.277,0.361,0.492,0.853
548,pujolal01,2006,143,535,119,177,33,1,49,137.0,92,50.0,28.0,0.331,0.427,0.671,1.098
549,puntoni01,2006,135,459,73,133,21,7,1,45.0,47,68.0,0.0,0.29,0.351,0.373,0.724
551,quinlro01,2006,86,234,28,75,11,1,9,32.0,7,28.0,1.0,0.321,0.339,0.491,0.83
552,ramirar01,2006,157,594,93,173,38,4,38,119.0,50,63.0,4.0,0.291,0.343,0.561,0.904
553,ramirha01,2006,158,633,119,185,46,11,17,59.0,56,128.0,0.0,0.292,0.349,0.48,0.829
554,ramirma02,2006,130,449,79,144,27,1,35,102.0,100,102.0,16.0,0.321,0.438,0.619,1.057
555,randajo01,2006,89,206,23,55,13,0,4,28.0,16,26.0,2.0,0.267,0.316,0.388,0.704
